No.,施設名,都道府県,市区町村,月額費用,HP_URL,フォームURL,ステータス
38,アリア恵比寿南,東京都,渋谷区,36.65〜251.94万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/shibuya/home_a-ebisuminami,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
41,アリア松濤,東京都,渋谷区,34.11〜267.57万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/shibuya/home_a-shoto,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
42,アリア代々木上原,東京都,渋谷区,36.65〜194.17万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/shibuya/home_a-yoyogiuehara,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
44,チャームプレミア グラン 松濤,東京都,渋谷区,35〜100万円,https://www.charmcc.jp/home/charmpremiergrand_shoto/,https://www.charmcc.jp/contact/inquiry/,未処理
3,東急ウェリナケア自由が丘,東京都,目黒区,36.02〜79.22万円,https://www.tokyu-welinacare.jp/jiyugaoka/,https://www.tokyu-welinacare.jp/jiyugaoka/contact/,未処理
51,グランヴィ小日向,東京都,文京区,36.01〜54.01万円,https://sonodakai.jp/meisho/facility/gvkohinata/,https://sonodakai.jp/meisho/contact/,未処理
47,アリア文京本郷,東京都,文京区,32.35〜261.35万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/bunkyo/home_a-hongou,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
22,メディカル・リハビリホームくらら二子玉川,東京都,世田谷区,42.6〜47.44万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/setagaya/home_k-futakotamagawa,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
35,くらら田園調布,東京都,世田谷区,42.7〜47.5万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/ota/home_k-denenchofu,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
2,東急ウェリナケア尾山台,東京都,世田谷区,31.95〜60.95万円,https://www.tokyu-welinacare.jp/oyamadai/,https://www.tokyu-welinacare.jp/oyamadai/contact/,未処理
83,グランダ四天王寺,大阪府,大阪市天王寺区,28.3〜113.4万円,https://kaigo.benesse-style-care.co.jp/area_osaka/osaka/home_gd-shitennouji,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
79,グランダ帝塚山,大阪府,大阪市阿倍野区,21.2〜137万円,,,URL要確認(独立系の可能性)
64,ロングライフ阿倍野,大阪府,大阪市阿倍野区,26〜172.8万円,,,URL要確認
80,リハビリホームグランダ高槻,大阪府,高槻市,20.5〜155.3万円,https://kaigo.benesse-style-care.co.jp/area_osaka/takatsuki/home_gd-takatsuki,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
90,ベルパージュ大阪上本町,大阪府,大阪市天王寺区,25.3〜74.7万円,,,URL要確認
87,グッドタイムリビング大阪ベイ,大阪府,大阪市港区,29〜81.8万円,https://www.gtl-daiwa.co.jp/guesthouse/gtl/osaka-bay/,https://www.gtl-daiwa.co.jp/inquiry/,未処理
85,グランダ緑地公園,大阪府,豊中市,21.6〜124.5万円,https://kaigo.benesse-style-care.co.jp/area_osaka/toyonaka/home_gd-ryokuchikoen,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
57,メディカル・リハビリホームくらら箕面小野原,大阪府,箕面市,40.27〜45.11万円,https://kaigo.benesse-style-care.co.jp/area_osaka/minoo/home_k-minooonohara,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
89,グランダ豊中,大阪府,豊中市,22.8〜90.1万円,https://kaigo.benesse-style-care.co.jp/area_osaka/toyonaka/home_gd-toyonaka,https://www.benesse-style-care.co.jp/inquiry_all/,未処理
77,グッドタイムリビングなかもず,大阪府,堺市北区,27〜76.8万円,https://www.gtl-daiwa.co.jp/guesthouse/gtl/nakamozu/,https://www.gtl-daiwa.co.jp/inquiry/,未処理
